County,WeekStartDate,NewPos_All,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Positive UnkAge,dtm_updated
Adams County,2020-03-08,4,0,1,1,2,0,0,2020/11/08 12:47:15
Adams County,2020-03-15,3,0,0,3,0,0,0,2020/11/08 12:47:15
Adams County,2020-03-22,12,0,4,4,4,0,0,2020/11/08 12:47:15
Adams County,2020-03-29,15,3,5,4,3,0,0,2020/11/08 12:47:15
Adams County,2020-04-05,7,0,2,4,1,0,0,2020/11/08 12:47:15
Adams County,2020-04-12,2,0,1,1,0,0,0,2020/11/08 12:47:15
Adams County,2020-04-19,4,0,4,0,0,0,0,2020/11/08 12:47:15
Adams County,2020-04-26,2,0,1,1,0,0,0,2020/11/08 12:47:15
Adams County,2020-05-03,1,1,0,0,0,0,0,2020/11/08 12:47:15
Adams County,2020-05-10,2,0,1,1,0,0,0,2020/11/08 12:47:15
Adams County,2020-05-17,5,0,1,4,0,0,0,2020/11/08 12:47:15
Adams County,2020-05-24,17,2,9,4,2,0,0,2020/11/08 12:47:15
Adams County,2020-05-31,14,5,6,3,0,0,0,2020/11/08 12:47:15
Adams County,2020-06-07,12,1,2,5,3,0,1,2020/11/08 12:47:15
Adams County,2020-06-14,13,1,4,5,3,0,0,2020/11/08 12:47:15
Adams County,2020-06-21,31,0,16,9,5,1,0,2020/11/08 12:47:15
Adams County,2020-06-28,54,15,13,18,8,0,0,2020/11/08 12:47:15
Adams County,2020-07-05,57,17,24,10,4,2,0,2020/11/08 12:47:15
Adams County,2020-07-12,64,13,21,23,5,2,0,2020/11/08 12:47:15
Adams County,2020-07-19,53,13,14,10,6,10,0,2020/11/08 12:47:15
Adams County,2020-07-26,34,6,12,9,4,3,0,2020/11/08 12:47:15
Adams County,2020-08-02,56,6,22,20,7,1,0,2020/11/08 12:47:15
Adams County,2020-08-09,51,13,15,13,8,2,0,2020/11/08 12:47:15
Adams County,2020-08-16,60,14,23,17,5,0,1,2020/11/08 12:47:15
Adams County,2020-08-23,62,9,31,14,7,1,0,2020/11/08 12:47:15
Adams County,2020-08-30,92,16,30,30,14,2,0,2020/11/08 12:47:15
Adams County,2020-09-06,49,6,25,15,1,2,0,2020/11/08 12:47:15
Adams County,2020-09-13,45,10,19,7,7,2,0,2020/11/08 12:47:15
Adams County,2020-09-20,39,1,20,12,6,0,0,2020/11/08 12:47:15
Adams County,2020-09-27,16,4,3,4,5,0,0,2020/11/08 12:47:15
Adams County,2020-10-04,20,1,8,2,6,3,0,2020/11/08 12:47:15
Adams County,2020-10-11,17,3,5,5,3,1,0,2020/11/08 12:47:15
Adams County,2020-10-18,10,4,5,1,0,0,0,2020/11/08 12:47:15
Adams County,2020-10-25,36,10,14,8,4,0,0,2020/11/08 12:47:15
Adams County,2020-11-01,30,5,10,11,3,0,1,2020/11/08 12:47:15
Asotin County,2020-03-15,2,0,0,0,2,0,0,2020/11/08 12:47:15
Asotin County,2020-03-22,1,0,1,0,0,0,0,2020/11/08 12:47:15
Asotin County,2020-03-29,2,0,0,2,0,0,0,2020/11/08 12:47:15
Asotin County,2020-04-05,7,0,1,4,1,1,0,2020/11/08 12:47:15
Asotin County,2020-04-12,4,1,0,3,0,0,0,2020/11/08 12:47:15
Asotin County,2020-04-19,3,0,0,0,2,1,0,2020/11/08 12:47:15
Asotin County,2020-05-17,1,0,0,1,0,0,0,2020/11/08 12:47:15
Asotin County,2020-05-31,1,0,0,0,1,0,0,2020/11/08 12:47:15
Asotin County,2020-06-14,1,0,0,0,1,0,0,2020/11/08 12:47:15
Asotin County,2020-06-21,1,0,0,0,1,0,0,2020/11/08 12:47:15
Asotin County,2020-07-12,1,0,1,0,0,0,0,2020/11/08 12:47:15
Asotin County,2020-07-19,1,0,1,0,0,0,0,2020/11/08 12:47:15
Asotin County,2020-07-26,6,2,2,2,0,0,0,2020/11/08 12:47:15
Asotin County,2020-08-02,7,0,3,2,2,0,0,2020/11/08 12:47:15
Asotin County,2020-08-09,9,1,5,1,2,0,0,2020/11/08 12:47:15
Asotin County,2020-08-16,7,0,4,3,0,0,0,2020/11/08 12:47:15
Asotin County,2020-08-23,3,0,0,2,1,0,0,2020/11/08 12:47:15
Asotin County,2020-08-30,8,1,2,0,5,0,0,2020/11/08 12:47:15
Asotin County,2020-09-06,12,2,1,2,7,0,0,2020/11/08 12:47:15
Asotin County,2020-09-13,27,3,6,7,5,6,0,2020/11/08 12:47:15
Asotin County,2020-09-20,21,4,3,2,8,4,0,2020/11/08 12:47:15
Asotin County,2020-09-27,21,0,7,4,6,4,0,2020/11/08 12:47:15
Asotin County,2020-10-04,30,2,11,4,12,1,0,2020/11/08 12:47:15
Asotin County,2020-10-11,37,6,13,10,3,5,0,2020/11/08 12:47:15
Asotin County,2020-10-18,34,2,15,7,9,1,0,2020/11/08 12:47:15
Asotin County,2020-10-25,74,5,32,21,12,4,0,2020/11/08 12:47:15
Asotin County,2020-11-01,20,1,4,6,8,1,0,2020/11/08 12:47:15
Benton County,2020-02-16,1,0,1,0,0,0,0,2020/11/08 12:47:15
Benton County,2020-03-01,7,0,0,0,3,4,0,2020/11/08 12:47:15
Benton County,2020-03-08,17,0,3,4,6,4,0,2020/11/08 12:47:15
Benton County,2020-03-15,58,2,15,16,10,14,1,2020/11/08 12:47:15
Benton County,2020-03-22,105,3,21,26,25,30,0,2020/11/08 12:47:15
Benton County,2020-03-29,88,2,24,29,21,12,0,2020/11/08 12:47:15
Benton County,2020-04-05,72,7,21,30,12,2,0,2020/11/08 12:47:15
Benton County,2020-04-12,67,3,31,22,9,2,0,2020/11/08 12:47:15
Benton County,2020-04-19,102,6,38,25,19,14,0,2020/11/08 12:47:15
Benton County,2020-04-26,81,7,24,26,15,9,0,2020/11/08 12:47:15
Benton County,2020-05-03,44,2,20,10,9,3,0,2020/11/08 12:47:15
Benton County,2020-05-10,68,4,32,26,5,1,0,2020/11/08 12:47:15
Benton County,2020-05-17,101,13,39,26,9,14,0,2020/11/08 12:47:15
Benton County,2020-05-24,120,11,47,32,21,9,0,2020/11/08 12:47:15
Benton County,2020-05-31,187,19,76,58,28,6,0,2020/11/08 12:47:15
Benton County,2020-06-07,257,31,120,73,27,6,0,2020/11/08 12:47:15
Benton County,2020-06-14,280,31,104,85,36,23,1,2020/11/08 12:47:15
Benton County,2020-06-21,300,41,148,73,31,7,0,2020/11/08 12:47:15
Benton County,2020-06-28,376,52,178,102,35,9,0,2020/11/08 12:47:15
Benton County,2020-07-05,417,65,202,97,41,12,0,2020/11/08 12:47:15
Benton County,2020-07-12,359,65,179,83,26,5,1,2020/11/08 12:47:15
Benton County,2020-07-19,355,72,152,92,34,4,1,2020/11/08 12:47:15
Benton County,2020-07-26,218,41,72,74,27,4,0,2020/11/08 12:47:15
Benton County,2020-08-02,137,30,53,38,16,0,0,2020/11/08 12:47:15
Benton County,2020-08-09,135,24,64,30,16,1,0,2020/11/08 12:47:15
Benton County,2020-08-16,128,18,63,26,17,4,0,2020/11/08 12:47:15
Benton County,2020-08-23,121,17,48,38,16,2,0,2020/11/08 12:47:15
Benton County,2020-08-30,93,10,44,22,14,3,0,2020/11/08 12:47:15
Benton County,2020-09-06,83,18,36,16,12,1,0,2020/11/08 12:47:15
Benton County,2020-09-13,102,19,39,24,14,6,0,2020/11/08 12:47:15
Benton County,2020-09-20,128,20,43,41,20,4,0,2020/11/08 12:47:15
Benton County,2020-09-27,156,31,59,50,11,5,0,2020/11/08 12:47:15
Benton County,2020-10-04,151,25,64,41,18,3,0,2020/11/08 12:47:15
Benton County,2020-10-11,182,25,73,52,29,3,0,2020/11/08 12:47:15
Benton County,2020-10-18,175,35,57,46,33,4,0,2020/11/08 12:47:15
Benton County,2020-10-25,315,41,131,111,25,7,0,2020/11/08 12:47:15
Benton County,2020-11-01,312,54,122,80,50,6,0,2020/11/08 12:47:15
Chelan County,2020-02-09,1,0,0,1,0,0,0,2020/11/08 12:47:15
Chelan County,2020-03-08,8,0,1,5,1,1,0,2020/11/08 12:47:15
Chelan County,2020-03-15,8,0,4,0,2,2,0,2020/11/08 12:47:15
Chelan County,2020-03-22,12,0,3,2,3,4,0,2020/11/08 12:47:15
Chelan County,2020-03-29,24,1,7,6,9,1,0,2020/11/08 12:47:15
Chelan County,2020-04-05,16,0,10,4,2,0,0,2020/11/08 12:47:15
Chelan County,2020-04-12,25,1,18,6,0,0,0,2020/11/08 12:47:15
Chelan County,2020-04-19,26,5,7,9,5,0,0,2020/11/08 12:47:15
Chelan County,2020-04-26,19,1,6,6,6,0,0,2020/11/08 12:47:15
Chelan County,2020-05-03,25,6,11,7,1,0,0,2020/11/08 12:47:15
Chelan County,2020-05-10,35,6,18,10,0,1,0,2020/11/08 12:47:15
Chelan County,2020-05-17,43,5,16,19,3,0,0,2020/11/08 12:47:15
